strain,phage,interaction
ECOR63,AL505_Ev3,1
ASP51G,AL505_Ev3,1
S176,AL505_Ev3,0
H10030035DE,AL505_Ev3,1
S21,AL505_Ev3,1
FN116,AL505_Ev3,0
FNB9,AL505_Ev3,0
FN126,AL505_Ev3,0
S111,AL505_Ev3,0
FN89,AL505_Ev3,0
NILS64,AL505_Ev3,0
LI10,AL505_Ev3,0
NILS25,AL505_Ev3,1
NILS55,AL505_Ev3,0
NILS27,AL505_Ev3,1
NILS73,AL505_Ev3,0
NILS19,AL505_Ev3,0
LM33,AL505_Ev3,0
NILS44,AL505_Ev3,0
NILS53,AL505_Ev3,0
NILS76,AL505_Ev3,0
NILS63,AL505_Ev3,1
NILS69,AL505_Ev3,1
ECOR66,AL505_Ev3,0
E234869,AL505_Ev3,1
FNB7,AL505_Ev3,0
DEC2A,AL505_Ev3,0
DEC1A,AL505_Ev3,0
FNB4,AL505_Ev3,0
BDX09,AL505_Ev3,0
AN03,AL505_Ev3,1
H10010155MI,AL505_Ev3,0
H10010034SM,AL505_Ev3,0
NILS60,AL505_Ev3,0
H10010053KC,AL505_Ev3,0
H10030054PP,AL505_Ev3,1
B1932,AL505_Ev3,0
ROAR434,AL505_Ev3,0
001023,AL505_Ev3,0
003026,AL505_Ev3,0
921A,AL505_Ev3,0
916A,AL505_Ev3,0
E1426,AL505_Ev3,0
H95,AL505_Ev3,0
H10020069VG,AL505_Ev3,0
ECOR38,AL505_Ev3,0
ECOR39,AL505_Ev3,0
ECOR41,AL505_Ev3,0
ECOR40,AL505_Ev3,0
IAI39,AL505_Ev3,0
IAI36,AL505_Ev3,0
ECOR35,AL505_Ev3,0
IAI58,AL505_Ev3,0
ECOR36,AL505_Ev3,0
NILS36,AL505_Ev3,0
IAI35,AL505_Ev3,0
IAI33,AL505_Ev3,0
NILS01,AL505_Ev3,0
PDP21,AL505_Ev3,1
NILS39,AL505_Ev3,1
NILS50,AL505_Ev3,0
NILS46,AL505_Ev3,0
LM08,AL505_Ev3,0
NILS18,AL505_Ev3,1
LM02,AL505_Ev3,0
DIJ07,AL505_Ev3,0
LM40,AL505_Ev3,0
BDX03,AL505_Ev3,0
IAI30,AL505_Ev3,0
IAI27,AL505_Ev3,0
ECOR47,AL505_Ev3,0
IAI24,AL505_Ev3,0
ECOR44,AL505_Ev3,0
NILS38,AL505_Ev3,0
NILS51,AL505_Ev3,0
ECOR49,AL505_Ev3,0
ECOR50,AL505_Ev3,0
NILS56,AL505_Ev3,0
ECOR46,AL505_Ev3,0
NILS42,AL505_Ev3,0
NILS52,AL505_Ev3,0
